ID,Date,Temperature Median (C),Temperature Minimum (C),Temperature Maximum (C),Precipitation (mm),Weekend,"Beer consumption (liters)"
163,6/12/2015,18.8,16.9,23.5,0,0,22.375
164,6/13/2015,21.1,15.5,27.4,0,1,29.607
165,6/14/2015,22.76,18.1,27.3,0,1,32.983
166,6/15/2015,16.02,13.1,23.4,0,0,19.119
167,6/16/2015,14.82,12.1,18.1,9,0,21.029
168,6/17/2015,19.8,13.9,25.1,0,0,23.898
169,6/18/2015,19.88,15.8,26.2,0,0,24.534
170,6/19/2015,14.66,13.2,17.7,3.8,0,16.748
171,6/20/2015,15.82,12.5,20.4,0,1,23.055
172,6/21/2015,17.32,12.6,24.6,0,1,28.857
173,6/22/2015,18.54,13.1,24.6,0,0,23.022
174,6/23/2015,19.02,14.4,25.5,0,0,27.146
175,6/24/2015,14.54,13.9,18,3.8,0,17.241
176,6/25/2015,14.72,12.1,17.4,1,0,19.463
177,6/26/2015,15.26,12,20.9,0,0,21.86
178,6/27/2015,15.34,10.6,20.8,0,1,24.227
179,6/28/2015,15.48,11.2,21.8,0,1,27.594
180,6/29/2015,17.2,11,24.4,0,0,24.863
181,6/30/2015,19.36,13.2,25.1,0,0,20.161
182,7/1/2015,17.78,16.2,20.5,0,0,20.824
183,7/2/2015,17.2,15.1,19.9,1.6,0,19.727
184,7/3/2015,17.52,15.6,18.4,17.8,0,14.94
185,7/4/2015,14.94,10.9,21,15.2,1,24.632
186,7/5/2015,12.9,11,14.5,4.4,1,21.294
187,7/6/2015,15.78,11.3,20.6,0,0,18.448
188,7/7/2015,16.8,13.3,20.2,0,0,21.237
189,7/8/2015,17.02,14.9,18.7,4.5,0,19.849
190,7/9/2015,17.54,15.3,20.4,0,0,20.74
191,7/10/2015,19.24,14,25.4,0,0,25.698
192,7/11/2015,17.46,16,19.8,0,1,26.691
193,7/12/2015,20.32,14,27.4,3,1,33.298
194,7/13/2015,22.06,16.7,28.7,0,0,25.64
195,7/14/2015,23.3,18.4,29.3,0,0,23.937
196,7/15/2015,20.18,17.2,27.6,0,0,28.742
197,7/16/2015,19.88,16.2,25.8,0,0,21.748
198,7/17/2015,19.14,15.8,24.3,0,0,22.032
199,7/18/2015,20.2,18.2,23.8,0,1,24.827
200,7/19/2015,19.98,14.6,25.9,0,1,32.473
201,7/20/2015,20.56,14.9,25.1,0,0,20.62
202,7/21/2015,16.72,14,21.4,0,0,21.825
203,7/22/2015,14.52,12.8,16.1,0,0,14.343
204,7/23/2015,17.02,13.6,20.6,0,0,19.029
205,7/24/2015,18.46,14.3,25.8,0,0,21.104
206,7/25/2015,15.9,14.9,17.9,16.6,1,20.738
207,7/26/2015,16.82,13.6,22.9,2,1,25.233
208,7/27/2015,16.6,11,24.2,0,0,18.975
209,7/28/2015,16.46,11.6,24.5,0,0,19.64
210,7/29/2015,16.2,11,23.8,0,0,22.522
211,7/30/2015,16.76,11.3,26.7,0,0,24.227
212,7/31/2015,19.24,12.8,26.6,0,0,24.726
213,8/1/2015,19.78,14.3,26.4,0,1,32.467
214,8/2/2015,20.1,13.8,26.3,0,1,31.663
215,8/3/2015,21.16,14.9,26.9,0,0,25.867
216,8/4/2015,21.04,15.2,27.4,0,0,27.724
217,8/5/2015,20.96,15,27.2,0,0,22.039
218,8/6/2015,21.06,16.3,27.7,0,0,26.127
219,8/7/2015,22.08,15.5,28.9,0,0,26.58
220,8/8/2015,21.16,16,27.8,0,1,31.31
221,8/9/2015,19.62,15.6,26.2,0,1,33.517
222,8/10/2015,21.2,15.6,28,0,0,23.181
223,8/11/2015,19.6,15.2,27.2,0,0,24.183
224,8/12/2015,20.12,14.1,26.6,0,0,24.594
225,8/13/2015,20.42,14.1,28.1,0,0,22.61
226,8/14/2015,20.86,15.3,27.6,0,0,25.479
227,8/15/2015,21.44,15.6,27.8,0,1,29.621
228,8/16/2015,20.56,16.2,27.2,0,1,26.272
229,8/17/2015,21.58,15.3,28,0,0,22.541
230,8/18/2015,21.3,16.7,26.5,0,0,23.07
231,8/19/2015,20.74,17.3,28.3,0,0,26.021
232,8/20/2015,16.2,14.8,19.6,0,0,17.655
233,8/21/2015,16.84,13.2,22.1,1,0,23.243
234,8/22/2015,18.08,14.1,26.2,0,1,30.177
235,8/23/2015,20.22,13.5,30,0,1,27.518
236,8/24/2015,16.98,15.1,20.5,0,0,23.21
237,8/25/2015,16.98,14.3,20.5,2.4,0,21.092
238,8/26/2015,18.92,14.8,24,0.6,0,23.357
239,8/27/2015,16.1,13.8,19.8,2.6,0,17.888
240,8/28/2015,16.28,12.8,22.1,25,0,22.217
241,8/29/2015,18.46,12.2,26.7,0,1,31.681
242,8/30/2015,22.52,14.3,32,0,1,31.833
243,8/31/2015,24.54,16.6,32.2,0,0,28.441
244,9/1/2015,21.44,17.2,30.7,0,0,22.389
245,9/2/2015,16.1,14.1,20.2,0.4,0,20.681
246,9/3/2015,19.3,14.8,25,0,0,24.222
247,9/4/2015,16.66,15.2,19.3,0,0,19.345
248,9/5/2015,16.12,14.4,18.5,2.4,1,21.827
249,9/6/2015,16.48,13.3,19.9,0,1,23.566
250,9/7/2015,18.72,13.8,24.4,0.1,0,20.227
251,9/8/2015,17.08,15.8,19.2,23.6,0,17.075
252,9/9/2015,18.82,15.8,22.9,58,0,16.977
253,9/10/2015,18.92,13.9,25.6,0,0,21.525
254,9/11/2015,16.88,14.1,21.8,31.8,0,21.454
255,9/12/2015,14,12.8,15.6,27.6,1,21.814
256,9/13/2015,14.18,12.5,16.1,0,1,21.252
257,9/14/2015,16.46,13,22.5,0.2,0,20.464
258,9/15/2015,21.18,14.4,30.1,0,0,30.775
259,9/16/2015,25.24,17.2,32.6,0,0,25.343
260,9/17/2015,27.26,20.4,33,0,0,33.93
261,9/18/2015,28.06,21.3,34.5,0,0,26.311
262,9/19/2015,28,21.1,35.5,0,1,31.836
263,9/20/2015,23.6,19.2,33.3,0,1,34.695
264,9/21/2015,24.72,17.4,32.8,0,0,29.829
265,9/22/2015,25.7,18.9,33.3,0,0,26.362
266,9/23/2015,26.14,18.3,34,0,0,32.589
267,9/24/2015,28.3,20.5,35.3,0,0,30.345
268,9/25/2015,23.24,19.2,30.3,0,0,29.411
269,9/26/2015,20.58,18.2,24.9,28.6,1,29.637
270,9/27/2015,22.3,18.2,30.6,1.8,1,32.184
271,9/28/2015,21.22,17.5,23.6,27.2,0,17.731
272,9/29/2015,21.8,17.5,27.1,0,0,24.114
273,9/30/2015,21.52,18.6,27.6,0,0,28.034
274,10/1/2015,20.96,17.6,26.4,7.6,0,22.664
275,10/2/2015,24.74,19.3,32.7,0,0,27.488
276,10/3/2015,20.28,16.1,25,25,1,24.876
277,10/4/2015,18.6,17.1,21.3,0.2,1,24.862
278,10/5/2015,17.36,14.8,22.4,0,0,24.679
279,10/6/2015,18.26,14.6,24.7,0,0,22.304
280,10/7/2015,24.5,15.9,32.6,0,0,30.329
281,10/8/2015,26.56,19.3,34,0,0,33.182
282,10/9/2015,24.52,19.8,29,0,0,23.849
283,10/10/2015,23.06,19.6,28,0.3,1,33.33
284,10/11/2015,22.48,19.6,30,0,1,34.496
285,10/12/2015,22.76,19,29.6,0,0,26.249
286,10/13/2015,21.4,18.1,27.6,2.4,0,26.523
287,10/14/2015,23.62,18.2,28.5,0,0,26.793
288,10/15/2015,28.12,18.9,35.8,0,0,35.861
289,10/16/2015,26.24,21.3,35.7,0,0,27.387
290,10/17/2015,21.22,17.3,29.2,0,1,32.666
291,10/18/2015,16.76,15.5,19.2,0.1,1,22.199
